lr,data_time,loss,decode.loss_ce,decode.acc_seg,time,iter,memory,step
0.009998886215193948,0.19940559069315592,2.4957534074783325,2.4957534074783325,38.7542724609375,1.150934139887492,6.0,4088.0,6.0
0.00997794446709763,0.05089421272277832,0.8435948520898819,0.8435948520898819,63.46435546875,0.08883490562438964,100.0,2283.0,100.0
0.009955660594668054,0.025481510162353515,0.9014266610145569,0.9014266610145569,67.047119140625,0.06602134704589843,200.0,2283.0,200.0
0.009933371122565919,0.023998117446899413,0.8783606171607972,0.8783606171607972,76.025390625,0.06263682842254639,300.0,2283.0,300.0
0.009911076035273796,0.02936732769012451,0.9886572062969208,0.9886572062969208,71.3226318359375,0.06768388748168945,400.0,2283.0,400.0
0.0098887753171919,0.04044768810272217,0.7077610224485398,0.7077610224485398,76.055908203125,0.07834441661834717,500.0,3586.0,500.0
0.009866468952637547,0.025957059860229493,0.7702124297618866,0.7702124297618866,67.7398681640625,0.06514062881469726,600.0,2283.0,600.0
0.009844156925844432,0.01350102424621582,0.6754068613052369,0.6754068613052369,84.85107421875,0.05135335922241211,700.0,2283.0,700.0
0.009821839220962003,0.033058881759643555,0.6747438400983811,0.6747438400983811,75.4425048828125,0.07295656204223633,800.0,2283.0,800.0
0.009799515822054777,0.008335399627685546,0.6275794774293899,0.6275794774293899,85.9710693359375,0.09763262271881104,900.0,3496.0,900.0
0.00977718671310168,0.004454708099365235,0.701537799835205,0.701537799835205,67.3797607421875,0.08872175216674805,1000.0,2283.0,1000.0
0.009754851877995354,0.008658313751220703,0.7230085045099258,0.7230085045099258,87.2222900390625,0.0966186761856079,1100.0,2283.0,1100.0
0.009732511300541468,0.010190868377685547,0.756902414560318,0.756902414560318,85.8154296875,0.09528729915618897,1200.0,2283.0,1200.0
0.009710164964458045,0.009260082244873047,0.5858220756053925,0.5858220756053925,67.7154541015625,0.0935370922088623,1300.0,3496.0,1300.0
0.009687812853374727,0.020908927917480467,0.679632169008255,0.679632169008255,67.071533203125,0.10412631034851075,1400.0,2283.0,1400.0
0.009665454950832103,0.015388226509094239,0.7934658199548721,0.7934658199548721,66.510009765625,0.1005082368850708,1500.0,2283.0,1500.0
0.009643091240280942,0.01189405918121338,0.740697717666626,0.740697717666626,73.4954833984375,0.09802365303039551,1600.0,2283.0,1600.0
0.009620721705081534,0.002501964569091797,0.6797647505998612,0.6797647505998612,59.613037109375,0.0900615930557251,1700.0,3496.0,1700.0
0.009598346328502901,0.004199957847595215,0.6990341514348983,0.6990341514348983,77.8564453125,0.09226231575012207,1800.0,2283.0,1800.0
0.009575965093722064,0.01674227714538574,0.6076426863670349,0.6076426863670349,82.1014404296875,0.10183873176574706,1900.0,2283.0,1900.0
0.009553577983823325,0.012037539482116699,0.6321528375148773,0.6321528375148773,70.69091796875,0.09732153415679931,2000.0,2283.0,2000.0
0.0095311849817975,0.005098462104797363,0.5976146727800369,0.5976146727800369,82.427978515625,0.10149686336517334,2100.0,3496.0,2100.0
0.009508786070541123,0.002351808547973633,0.618991956114769,0.618991956114769,84.5489501953125,0.08961210250854493,2200.0,2283.0,2200.0
0.009486381232855704,0.008782434463500976,0.6547733545303345,0.6547733545303345,80.94482421875,0.09539499282836914,2300.0,2283.0,2300.0
0.009463970451446941,0.011999917030334473,0.43515759110450747,0.43515759110450747,79.21142578125,0.10350339412689209,2400.0,2283.0,2400.0
0.009441553708923918,0.019081377983093263,0.7127949059009552,0.7127949059009552,74.5330810546875,0.1100132942199707,2500.0,3496.0,2500.0
0.009419130987798348,0.012735486030578613,0.708214619755745,0.708214619755745,76.0650634765625,0.10098841190338134,2600.0,2283.0,2600.0
0.009396702270483696,0.002198338508605957,0.5977514684200287,0.5977514684200287,77.8594970703125,0.090169358253479,2700.0,2283.0,2700.0
0.009374267539294417,0.013494491577148438,0.5864558041095733,0.5864558041095733,72.119140625,0.10498816967010498,2800.0,2283.0,2800.0
0.00935182677644513,0.0032004356384277345,0.6181010067462921,0.6181010067462921,73.73046875,0.09201333522796631,2900.0,3496.0,2900.0
